1,10873,14409,+,DDX11L1
1,14361,30370,-,WASH7P
1,34610,37081,-,FAM138F
1,68090,70008,+,OR4F5
1,134772,141566,-,LOC729737
1,322891,328581,+,LOC100132062
1,366658,368597,+,OR4F29
1,661138,666731,-,LOC100133331
1,700244,715068,-,LOC100288069
1,761585,763902,-,LINC00115
1,761970,794826,+,LOC643837
1,803450,813182,-,FAM41C
1,852952,855817,-,LOC100130417
1,860120,879961,+,SAMD11
1,879582,895679,-,NOC2L
1,894966,901099,+,KLHL17
1,900876,910484,+,PLEKHN1
1,910578,918473,-,C1orf170
1,934341,936552,-,HES4
1,947846,949919,+,ISG15
1,954502,991499,+,AGRN
1,1007125,1010687,-,RNF223
1,1017197,1052736,-,C1orf159
1,1071396,1079434,+,LOC254099
1,1101483,1102578,+,MIR200B
1,1102242,1103332,+,MIR200A
1,1103384,1104467,+,MIR429
1,1108285,1133313,+,TTLL10
1,1138887,1143089,-,TNFRSF18
1,1146705,1150548,-,TNFRSF4
1,1152287,1168447,-,SDF4
1,1166628,1170420,+,B3GALT6
1,1177825,1183102,-,FAM132A
1,1189291,1210234,-,UBE2J2
1,1214815,1227409,+,SCNN1D
1,1227763,1244269,-,ACAP3
1,1242993,1247057,+,PUSL1
1,1246964,1261067,-,CPSF3L
1,1259142,1264276,+,GLTPD1
1,1265725,1269844,+,TAS1R3
1,1270657,1285492,-,DVL1
1,1288070,1294915,-,MXRA8
1,1309109,1311580,-,AURKAIP1
1,1321090,1335718,-,CCNL2
1,1333909,1337426,+,LOC148413
1,1337275,1343693,-,MRPL20
1,1353799,1357824,-,ANKRD65
1,1360507,1363167,+,TMEM88B
1,1369902,1378262,+,VWA1
1,1384068,1405538,+,ATAD3C
1,1406163,1431582,+,ATAD3B
1,1446522,1470067,+,ATAD3A
1,1470157,1476740,-,TMEM240
1,1477052,1511262,-,SSU72
1,1533387,1536476,-,C1orf233
1,1549794,1565990,+,MIB2
1,1566559,1570030,+,MMP23B
1,1571099,1656775,-,CDK11B
1,1592938,1625243,-,SLC35E2B
1,1630377,1633247,+,MMP23A
1,1634169,1656791,-,CDK11A
1,1656276,1678438,-,SLC35E2
1,1682670,1712508,-,NADK
1,1716724,1823526,-,GNB1
1,1845265,1848733,+,CALML6
1,1849028,1851740,-,TMEM52
1,1884751,1936276,-,KIAA1751
1,1949767,1962192,+,GABRD
1,1980908,2116834,+,PRKCZ
1,2115898,2127214,-,C1orf86
1,2159133,2241652,+,SKI
1,2252695,2323993,-,MORN1
1,2281852,2285100,-,LOC100129534
1,2322213,2336885,+,RER1
1,2336240,2345010,-,PEX10
1,2406753,2436964,+,PLCH2
1,2439974,2459035,-,PANK4
1,2460183,2462684,-,HES5
1,2481358,2485284,-,LOC115110
1,2486162,2489450,-,LOC100133445
1,2486804,2495267,+,TNFRSF14
1,2517188,2522908,+,FAM213B
1,2522080,2565481,-,MMEL1
1,2572806,2707230,-,TTC34
1,2937045,2939467,+,ACTRT2
1,2980635,2985289,-,FLJ42875
1,2984741,3355185,+,PRDM16
1,3043538,3044599,+,MIR4251
1,3370146,3397677,+,ARHGEF16
1,3404505,3529059,-,MEGF6
1,3477259,3478354,-,MIR551A
1,3540555,3546694,+,TPRG1L
1,3547330,3567671,-,WRAP73
1,3568128,3652765,+,TP73
1,3652547,3664335,-,TP73-AS1
1,3667964,3688209,+,CCDC27
1,3688351,3692546,+,SMIM1
1,3696783,3714068,-,LRRC47
1,3728644,3774797,-,CEP104
1,3772844,3801993,+,DFFB
1,3805696,3817857,-,C1orf174
1,3815967,3832011,+,LOC100133612
1,3999671,4012643,+,LOC728716
1,4471110,4484744,+,LOC284661
1,4714104,4837854,+,AJAP1
1,5623130,5624203,+,MIR4417
1,5922731,5923801,-,MIR4689
1,5922869,6053533,-,NPHP4
1,6085072,6161253,+,KCNAB2
1,6161846,6241194,-,CHD5
1,6245079,6260679,-,RPL22
1,6265188,6281359,+,RNF207
1,6281252,6297044,-,ICMT
1,6303251,6305638,+,HES3
1,6307405,6322035,-,GPR153
1,6324331,6421764,-,ACOT7
1,6475293,6480979,-,HES2
1,6483847,6521004,+,ESPN
1,6489893,6490956,-,MIR4252
1,6521213,6527255,-,TNFRSF25
1,6526151,6551654,-,PLEKHG5
1,6581406,6615658,-,NOL9
1,6614337,6639817,+,TAS1R1
1,6639062,6649340,+,ZBTB48
1,6650783,6663929,-,KLHL21
1,6672755,6684093,+,PHF13
1,6683924,6693642,+,THAP3
1,6694227,6762966,-,DNAJC11
1,6844383,7829766,+,CAMTA1
1,7830328,7841492,+,VAMP3
1,7843713,7905237,+,PER3
1,7907671,7914565,-,UTS2
1,7975930,8004225,-,TNFRSF9
1,8020713,8045342,+,PARK7
1,8071778,8087393,-,ERRFI1
1,8383389,8404227,+,SLC45A1
1,8412463,8878699,-,RERE
1,8921058,8940151,-,ENO1
1,8937893,8939943,+,ENO1-AS1
1,9004892,9034503,+,CA6
1,9063358,9087404,-,SLC2A7
1,9097004,9130887,-,SLC2A5
1,9164475,9190229,-,GPR157
1,9211726,9212836,-,MIR34A
1,9293862,9331394,+,H6PD
1,9351940,9429590,+,SPSB1
1,9598527,9642831,+,SLC25A33
1,9647931,9674935,+,TMEM201
1,9710789,9789172,+,PIK3CD
1,9712667,9715644,-,C1orf200
1,9789078,9885550,-,CLSTN1
1,9908333,9971316,-,CTNNBIP1
1,9989775,10003840,-,LZIC
1,10002485,10045556,+,NMNAT1
1,10056254,10076078,+,RBP7
1,10092040,10241296,+,UBE4B
1,10269763,10441661,+,KIF1B
1,10458084,10480201,+,PGD
1,10489158,10502872,+,APITD1
1,10489158,10512060,+,APITD1-CORT
1,10508775,10512060,+,CORT
1,10520602,10533613,-,DFFA
1,10534002,10690815,+,PEX14
1,10696665,10857733,-,CASZ1
1,11006529,11043094,-,C1orf127
1,11071678,11085549,+,TARDBP
1,11086579,11108296,-,MASP2
1,11114648,11121091,-,SRM
1,11126675,11160938,-,EXOSC10
1,11166587,11323608,-,MTOR
1,11202954,11209595,+,MTOR-AS1
1,11248345,11256038,+,ANGPTL7
1,11332254,11348491,+,UBIAD1
1,11538294,11597640,+,PTCHD2
1,11708417,11715888,-,FBXO2
1,11713913,11723384,+,FBXO44
1,11723149,11734409,+,FBXO6
1,11734536,11752678,-,MAD2L2
1,11750780,11780336,+,DRAXIN
1,11795141,11810828,+,AGTRAP
1,11845786,11867160,-,MTHFR
1,11865152,11903201,+,CLCN6
1,11905766,11908840,-,NPPA
1,11917520,11919992,-,NPPB
1,11979644,11987485,-,KIAA2013
1,11993723,12035599,+,PLOD1
1,12039237,12073572,+,MFN2
1,12078298,12092106,+,MIIP
1,12122433,12204264,+,TNFRSF8
1,12226059,12269277,+,TNFRSF1B
1,12250761,12251839,+,MIR4632
1,12289112,12572098,+,VPS13D
1,12566299,12567451,+,SNORA59B
1,12627938,12678820,-,DHRS3
1,12703565,12727097,+,AADACL4
1,12775117,12788726,+,AADACL3
1,12805162,12821102,+,C1orf158
1,12833983,12838048,+,PRAMEF12
1,12850545,12856777,+,PRAMEF1
1,12884467,12892264,-,PRAMEF11
1,12907235,12909237,-,LOC649330
1,12907260,12909578,-,HNRNPCL1
1,12915940,12921764,+,PRAMEF2
1,12939032,12947025,-,PRAMEF4
1,12952726,12959094,-,PRAMEF10
1,12975449,12980568,+,PRAMEF8
1,12998301,13008406,-,PRAMEF6
1,13034542,13038381,+,PRAMEF22
1,13182959,13185326,-,LOC440563
1,13328195,13332692,-,PRAMEF3
1,13358818,13369057,+,PRAMEF5
1,13420175,13428191,+,PRAMEF9
1,13447413,13453656,-,PRAMEF13
1,13474052,13478569,-,PRAMEF19
1,13494253,13498259,+,PRAMEF16
1,13515065,13526943,+,PRAMEF20
1,13715087,13719064,+,PRAMEF17
1,13801444,13841242,-,LRRC38
1,13909251,13944452,+,PDPN
1,14030349,14151574,+,PRDM2
1,14924212,15444544,+,KAZN
1,15438310,15479960,-,TMEM51-AS1
1,15479228,15546974,+,TMEM51
1,15572767,15724622,+,FHAD1
1,15735390,15756839,+,EFHD2
1,15763937,15773153,+,CTRC
1,15782222,15798586,+,CELA2A
1,15801595,15817895,+,CELA2B
1,15817895,15852285,-,CASP9
1,15852351,15898228,+,DNAJC16
1,15898193,15912605,-,AGMAT
1,15942952,15987552,+,DDI2
1,15985363,15988217,+,RSC1A1
1,16009826,16061264,+,PLEKHM2
1,16061808,16067884,+,SLC25A34
